KEY,NOTES,ENGLISH,DANISH
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"En blanding af ingredienser, der kan bages i {{PRODUCT.BREAD.LOAF.PLURAL}} ved hjælp af en {{FURNITURE.BAKING_OVEN}}."
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Brød brød
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Brødbrød
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Tilberedt brød, klar til at spise!"
PRODUCT.BUCKET.NOUN,,Bucket,Skovl
PRODUCT.BUCKET.PLURAL,,Buckets,Spande
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,En lille beholder bruges til at flytte væsker rundt for hånd.
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Keddel
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Bruges af en {{PROFESSION.CHEF}} til at tilberede suppe i en {{ROOMS.KITCHEN}}, hvor den derefter flyttes til en {{ROOMS.FEASTING_HALL}}."
PRODUCT.LINEN.NOUN,,Linen,
PRODUCT.LINEN.PLURAL,,Linen,
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Millstone
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,"To store stenskiver, der er malet sammen til mølle høstede afgrøder. Bruges til at konstruere en {{FURNITURE.FLOUR_MILL}}."
PRODUCT.RATION.NOUN,,Ration,Ration
PRODUCT.RATION.PLURAL,,Rations,Rationer
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Disse vil vare lang tid for at fodre dine bosættere, men du vil have brug for andre kilder til mad som en prioritet."
PRODUCT.ROPE.NOUN,,Rope,
PRODUCT.ROPE.PLURAL,,Ropes,
PRODUCT.STONE.GEAR.NOUN,,Gear,
PRODUCT.STONE.GEAR.PLURAL,,Gears,
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,
PRODUCT.STONE.PIPE.NOUN,,Pipe,
PRODUCT.STONE.PIPE.PLURAL,,Pipes,
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,

PROFESSION.BAKER.VERB,,Baking,Bagning
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Smed
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Smed
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Håndværk genstande ved hjælp af metal og producerer også metal fra malm.
PROFESSION.BLACKSMITH.VERB,,Forging,Smedning
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Tømrer
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Tømrer
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Opretter træmøbler og genstande.
PROFESSION.CARPENTER.VERB,,Crafting,Håndværk
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Kokken
PROFESSION.CHEF.MALE_NOUN,,Chef,Kokken
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,"Forbereder al den mad, der skal indtages af dine bosættere."
PROFESSION.CHEF.VERB,,Cooking,Madlavning
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Landmand
PROFESSION.FARMER.MALE_NOUN,,Farmer,Landmand
PROFESSION.FARMER.PLURAL,,Farmers,Bønder
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Planter, har tendens og høster afgrøder."
PROFESSION.FARMER.VERB,,Farming,Landbrug
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Fisher
PROFESSION.FISHER.MALE_NOUN,,Fisher,Fisher
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Fanger fisk fra vandområder til brug som fødevarer og ressourcer.
PROFESSION.FISHER.VERB,,Fishing,Fiskeri
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Jæger
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Jæger
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Spor og dræber vilde dyr for deres kød og skind.
PROFESSION.HUNTER.VERB,,Hunting,Jagt
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Borgmester
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Borgmester
PROFESSION.MAYOR.VERB,,Governing,Regerende
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Købmand
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Købmand
PROFESSION.MERCHANT.VERB,,Trading,Handel
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Fræsning
PROFESSION.MINER.FEMALE_NOUN,,Miner,Minearbejder
PROFESSION.MINER.MALE_NOUN,,Miner,Minearbejder
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Udgraver nye områder ved hjælp af en {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Minedrift
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Ædle
PROFESSION.NOBLE.MALE_NOUN,,Noble,Ædle
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Adel opfylder ikke job på samme måde som almindelige bosættere, men bringer berømmelse og prestige til din bosættelse."
PROFESSION.NOBLE.VERB,,Reigning,Regerende
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Runesmith
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Runesmith
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Fortryller våben, rustninger og genstande med magiske runer for at øge deres evner."
PROFESSION.RUNESMITH.VERB,,Enchanting,Fortryllende
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Stonemason
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Stonemason
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Håndværk møbler og genstande fra sten.
PROFESSION.STONEMASON.VERB,,Sculpting,Skulptur
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Tinker
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Tinker
PROFESSION.TINKERER.VERB,,Tinkering,Lattinkering
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Landsbybeboer
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Landsbybeboer
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,Denne bosætter har ingen specifikke erhverv og vil udføre verdslige opgaver såsom at slæbe genstande.
PROFESSION.VILLAGER.VERB,,Working,- Arbejder
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Skovhugger
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Skovhugger
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,"Nedskærer træer som tømmer, der kan bruges i en {{ROOMS.SAWMILL}}."
PROFESSION.WOODCUTTER.VERB,,Chopping,Hakning

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.BOAR.NOUN,,Wild boar,
RACE.CARP.NOUN,,Carp,
RACE.DEER.FEMALE_NOUN,,Doe,
RACE.DEER.MALE_NOUN,,Stag,
RACE.DEER.TOOLTIP,,A deer is a non-threatening herbivore which will flee at any sign of danger,
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Dværgen
RACE.DWARF.FEMALE_NOUN,,Dwarf,Dværg
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Dværge
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Dværgen
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Dværg
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Dværge
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Dværge er korte og tætne humanoider. De er mestre i at arbejde med sten og metal. De fleste dværge mistillid til himlen og foretrækker at forblive under jorden.
RACE.ELEPHANT.NOUN,,Elephant,
RACE.FOX.FEMALE_NOUN,,Vixen,
RACE.FOX.MALE_NOUN,,Fox,
RACE.PERCH.NOUN,,Perch,
RACE.PIKE.NOUN,,Pike,

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Et salt af svovlsyre med mange anvendelser i industrien. (Anvendelser af vitriol er endnu ikke implementeret i Kongen under bjerget)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Mel
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Mel
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,"Korn, der er formalet til et fint pulver, der er klar til brug som ingrediens i fremstillingen af fødevarer."
RESOURCE.GEM.NOUN,,Gem,Perle
RESOURCE.GEM.PLURAL,,Gems,Ædelstene
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,"Gems, der er blevet skåret og poleret for at forbedre deres skønhed. Mest almindeligt anvendt som udsmykning."
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Utilskåret ædelsten
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Uskårne ædelstene
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,En klump af sten indeholdende ædelstene klar til at blive skåret og poleret.
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),
RESOURCE.HEMP.BUNDLE.NOUN,,Hemp bundle,
RESOURCE.HEMP.BUNDLE.PLURAL,,Hemp bundles,
RESOURCE.HEMP.FIBRE.BUNDLE.NOUN,,Hemp fibre bundle,
RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL,,Hemp fibre bundles,
RESOURCE.LOGS.NOUN,,Log,Log
RESOURCE.LOGS.PLURAL,,Logs,Logfiler
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Afsnit af et træ, der oftest fremstilles i {{RESOURCE.PLANKS.PLURAL}}, men som også har andre anvendelsesformål."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Blomstre
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Blomstrer
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,"En metalklump blandet med slagge, der skal hamres i en brugbar form."
RESOURCE.METAL.INGOT.NOUN,,Ingot,- Hingot
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Ingots
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Raffinerede metalblokke, klar til brug som en crafting ingrediens."
RESOURCE.METAL.PLATE.NOUN,,Plate,Pladen
RESOURCE.METAL.PLATE.PLURAL,,Plates,Plader
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.","Store, flade plader, der bruges i nogle af de større maskiner."
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Champignon log
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Champignon logs
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,"En log, der er blevet infunderet med {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. Selve loggens krop er, hvor svampene trækker næringsstoffer fra. Det kræver dousing i en {{FURNITURE.MUSHROOM_SHOCK_TANK}} efter at være blevet fuldstændig uskyldig."
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,Log
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,Logfiler
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,"Sektioner af en kæmpe champignon, der kan bruges på samme måde som træ {{RESOURCE.LOGS.PLURAL}}."
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Knust malm
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Knust malm
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","Et metallisk sand skabt ved at nedbryde rå metalmalm, klar til brug i en {{FURNITURE.BLOOMERY_FURNACE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Malm
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Malm
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,"Sten, der indeholder metalmalme, som kan forarbejdes til brugbart metal."
RESOURCE.PLANKS.NOUN,,Plank,Plank
RESOURCE.PLANKS.PLURAL,,Planks,Planker
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,"Sektioner af træ af fast størrelse, så de let kan bruges i konstruktioner og håndværk."
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Champignon log
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Champignon logs
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,Denne svampe-infunderede log er blevet „chokeret“ i vand for at tilskynde svampene til at udvikle sig og bør producere en høst snart.
RESOURCE.STONE.BLOCK.NOUN,,Block,Bloker
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blokke
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,"Sten, der er blevet formet til en terning, så det er let at bruge i byggeri eller håndværk."
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Grov sten sten sten sten
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Rough sten kampesten
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,"Et stort stykke sten, der skal mejslet til en mere nyttig form af en {{PROFESSION.STONEMASON}}."
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack),
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack),

ROOMS.ARMOURY,,Armoury,
ROOMS.ARMOURY.TOOLTIP,,Weapons and armour are created here,
ROOMS.BEDROOM,,Bedroom,Soveværelset
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","Et sted, hvor dine bosættere kan sove. De foretrækker at have individuelle soveværelser, der er mindst 9 fliser i størrelse, og helst mindst 13 fliser i størrelse."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Broen
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,Placeret på tværs af floden for at give adgang til den anden side.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Tømrerværksted
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Denne workshop producerer de fleste træværktøjer og genstande.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allocated}} af {{total}} mellemrum i øjeblikket i brug
ROOMS.EARTHWORKS,,Earthworks,Jordarbejde
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,Et udendørs område til store konstruktioner.
ROOMS.FARM,,Farm plot,Grund plot
ROOMS.FARM.PLURAL,,Farm plots,Bondegårdsarealer
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Vokser afgrøder ved hjælp af {{INGREDIENT.SEEDS.PLURAL}}. Skal placeres på {{MATERIAL_TYPE.EARTH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,Fetisthal
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","Et sted for bosættere at samles for at spise, drikke og være glad!"
ROOMS.GRAVEYARD,,Graveyard,Kirkegård
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,Afdøde bosættere er lagt til hvile her.
ROOMS.KITCHEN,,Kitchen,Køkkenet
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,"De fleste fødevarer tilberedes her, før de serveres i en {{ROOMS.FEASTING_HALL}}."
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Murværk værksted
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,Denne workshop producerer de fleste genstande lavet af sten.
ROOMS.METALWORKS,,Metalworks,Metalværk
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,Metalmalm er raffineret og bruges til crafting her.
ROOMS.MUSHROOM_FARM,,Mushroom farm,Champignon gård
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,Svampe kan dyrkes ved hjælp af {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} og træ {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill,Savværk
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,Wooden {{RESOURCE.LOGS.PLURAL}} er raffineret til {{RESOURCE.PLANKS.PLURAL}} her.
ROOMS.STOCKPILE,,Stockpile,
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.,
ROOMS.STOCKPILES,,Stockpiles,Lagre
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,Ubrugte genstande placeres i lagre for nem adgang.
ROOMS.TEXTILE_WORKSHOP,,Textile workshop,
ROOMS.TEXTILE_WORKSHOP.TOOLTIP,,Processes {{SEED.HEMP_SEED}} into textiles for a variety of uses.,

ROPE.HEMP-ROPE,,Hemp,

RUSTED_SCRAP.NOUN,,Scrap,
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.,

SEASON.AUTUMN,,Autumn,Efteråret
SEASON.SPRING,,Spring,Forår
SEASON.SUMMER,,Summer,Sommer
SEASON.WINTER,,Winter,Vinter

SEED.BARLEY_SEED,,Barley,Byg
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Et korn, der kun anvendes til fremstilling af øl. Kan plantes i {{SEASON.SPRING}}, {{SEASON.SUMMER}} eller {{SEASON.AUTUMN}}."
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,Bersærker
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,"En svamp med en pink-rød hætte med hvide pletter. Det har hallucinogene egenskaber, som krigere sommetider bruger som forberedelse til kamp."
SEED.CARROT_SEED,,Carrot,Gulerod
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En hårdfør rodfrugt, der overlever {{SEASON.WINTER}} frost. Gulerødder vokser hurtigt, men producerer kun en lille afgrøde. Kan plantes i {{SEASON.SPRING}}, {{SEASON.SUMMER}} eller {{SEASON.AUTUMN}}."
SEED.CORN_SEED,,Corn,Majs
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","En kornkorn også kendt som majs. Den producerer en overdådig afgrøde, men tager omkring 2 sæsoner at vokse og kan ikke overleve {{SEASON.WINTER}}, så det kræver plantning tidligt {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Dødsdækslet
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.","En meget giftig champignon med en bred, flad hætte. At spise selv en lille mængde vil næsten helt sikkert forårsage forgiftning, som kan føre til døden."
SEED.ELFSBANE_SPAWN,,Elfsbane,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Denne svamp har en enkel, smagløs smag til de fleste humanoider. Mærkeligt smager det helt modbydeligt for alfer, der ofte reagerer med eksplosiv opkastning ved forbrug eller i ekstreme tilfælde et hjerteanfald."
SEED.FIST_SPAWN,,Fist,Knytnæve
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,En sortblå champignon med en metallisk smag. Det er opkaldt efter en gruppe bards fra mørkets tid.
SEED.GLOW_SPAWN,,Glow,Glød
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,"En magisk infunderet champignon, der afgiver lys og skifter farve med årstiderne."
SEED.HEMP_SEED,,Hemp,
SEED.HEMP_SEED.TOOLTIP,,Used to produce rope and fabric after it hsa been processed.,
SEED.HOPS_SEED,,Hops,Humle
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,"En blomst, der anvendes til aromastoffer af øl. Skal plantes i {{SEASON.SPRING}}."
SEED.MILTONIA_SPAWN,,Miltonia,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.","Når man troede at eksistere kun i Hudds-regionen, er det nu fundet over hele verden."
SEED.POTATO_SEED,,Potato,Kartoffel
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En stivelsesholdig rodfrugt som kan overleve {{SEASON.WINTER}} gør det til et godt valg for de fleste bosættelser. Kan plantes i {{SEASON.SPRING}}, {{SEASON.SUMMER}} eller {{SEASON.AUTUMN}}."
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,Lilla hjelm
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Plump Turban, Puffy Hjelm; Denne sagnomspundne champignon går af mange navne. Legenden siger, at for længe siden, eksisterede mange samfund af dværge udelukkende på en tamme stamme af denne svamp."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,Rociomycota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,"En hvid og sort plettet champignon. Det har været kendt for at påvirke udseendet af dem, der indtager det."
SEED.SUNGLOW_SPAWN,,Sunglow,Sunglow
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,"En lys gul champignon, der lyser med udseendet af sollys. Det mister denne glød, når den høstes."
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,Sirup pulver
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","En rund orange/gul champignon med en hvid underside. Det siges at have været brugt af magikere for længe siden, men til hvilket formål, ingen ved."
SEED.TOMATO_SEED,,Tomato,Tomat
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,"En plante, der vokser store røde bær ofte bruges som en grøntsag. Kan kun plantes i {{SEASON.SPRING}}."
SEED.WHEAT_SEED,,Wheat,Hvede
