KEY,NOTES,ENGLISH,SWEDISH
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kittel
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Används av en {{PROFESSI.CHEF}} för att tillaga soppa i en {{ROOMS.CITY}}, där den sedan flyttas till en {{ROOMS.FEASTING_HALL}}."
PRODUCT.LINEN.NOUN,,Linen,
PRODUCT.LINEN.PLURAL,,Linen,
PRODUCT.LIQUID.TANK,,Tank,
PRODUCT.LIQUID.TANK.TOOLTIP,,"This is a metal container used to store liquids, which must be crafted at the {{FURNITURE.FORGE}}.",
PRODUCT.MILLSTONE,,Millstone,Kvarnsten
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,Två stora stenskivor som är malda tillsammans för att fräs skördade grödor. Används för att konstruera en {{FURITURE.FLOUR_MILL}}.
PRODUCT.RATION.NOUN,,Ration,Ration
PRODUCT.RATION.PLURAL,,Rations,Rationer
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Dessa kommer att pågå länge för att mata dina bosättare, men du behöver andra matkällor som en prioritet."
PRODUCT.ROPE.NOUN,,Rope,
PRODUCT.ROPE.PLURAL,,Ropes,
PRODUCT.STONE.GEAR.NOUN,,Gear,
PRODUCT.STONE.GEAR.PLURAL,,Gears,
PRODUCT.STONE.GEAR.TOOLTIP,,Used in the construction of mechanisms.,
PRODUCT.STONE.PIPE.NOUN,,Pipe,
PRODUCT.STONE.PIPE.PLURAL,,Pipes,
PRODUCT.STONE.PIPE.TOOLTIP,,Used for liquids to flow between tiles underground.,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.NOUN,,Horizontal shaft,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.PLURAL,,Horizontal shafts,
PRODUCT.WOODEN.SHAFT.HORIZONTAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,
PRODUCT.WOODEN.SHAFT.VERTICAL.NOUN,,Vertical shaft,
PRODUCT.WOODEN.SHAFT.VERTICAL.PLURAL,,Vertical shafts,
PRODUCT.WOODEN.SHAFT.VERTICAL.TOOLTIP,,Used to connect mechanisms which produce and require power.,

PROFESSION.BAKER.VERB,,Baking,Bakning
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Smed
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Smed
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Hantverk med metall och producerar också metall från malm.
PROFESSION.BLACKSMITH.VERB,,Forging,Smida
PROFESSION.BREWER.FEMALE_NOUN,,Brewer,
PROFESSION.BREWER.MALE_NOUN,,Brewer,
PROFESSION.BREWER.TOOLTIP,,Produces beer in a {{ROOMS.BREWERY}}.,
PROFESSION.BREWER.VERB,,Brewing,
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Snickare
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Snickare
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Skapar trämöbler och föremål.
PROFESSION.CARPENTER.VERB,,Crafting,Snickra
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Kocken
PROFESSION.CHEF.MALE_NOUN,,Chef,Kocken
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,Förbereder all mat som ska konsumeras av dina nybyggare.
PROFESSION.CHEF.VERB,,Cooking,Matlagning
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Lantbrukare
PROFESSION.FARMER.MALE_NOUN,,Farmer,Lantbrukare
PROFESSION.FARMER.PLURAL,,Farmers,Bönder
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.","Växter, tenderar och skördar grödor."
PROFESSION.FARMER.VERB,,Farming,Odla
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Fiskare
PROFESSION.FISHER.MALE_NOUN,,Fisher,Fiskare
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,Fångster fisk från vattenförekomster för användning som livsmedel och resurser.
PROFESSION.FISHER.VERB,,Fishing,Fiska
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Jägare
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Jägare
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,Spår och dödar vilda djur för deras kött och skinn.
PROFESSION.HUNTER.VERB,,Hunting,Jaga
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Borgmästare
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Borgmästare
PROFESSION.MAYOR.VERB,,Governing,Styra
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Handlare
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Handlare
PROFESSION.MERCHANT.VERB,,Trading,Handla
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,Fräsning
PROFESSION.MINER.FEMALE_NOUN,,Miner,Gruvarbetare
PROFESSION.MINER.MALE_NOUN,,Miner,Gruvarbetare
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,Grävar nya områden med hjälp av en {{TOOL.PICKAXE}}.
PROFESSION.MINER.VERB,,Mining,Gruvdrift
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Adelskvinna
PROFESSION.NOBLE.MALE_NOUN,,Noble,Adelsman
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.","Adelsmän uppfyller inte jobb på samma sätt som vanliga bosättare, men ger berömmelse och prestige till din bosättning."
PROFESSION.NOBLE.VERB,,Reigning,Regera
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Runsmed
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Runsmed
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.","Förtrollar vapen, rustningar och föremål med magiska runor för att öka deras förmågor."
PROFESSION.RUNESMITH.VERB,,Enchanting,Förtrolla
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Stenhuggare
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Stenhuggare
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,Hantverk möbler och föremål från sten.
PROFESSION.STONEMASON.VERB,,Sculpting,Skulptera
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Tennsmed
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Tennsmed
PROFESSION.TINKERER.VERB,,Tinkering,Lappa
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Bybo
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Bybo
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,Denna bosättare har inga specifika yrken och kommer att uppfylla några vardagliga uppgifter som att transportera föremål.
PROFESSION.VILLAGER.VERB,,Working,Arbeta
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Skogshuggare
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Skogshuggare
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,Klipper ner träd som virke som kan användas i en {{ROOMS.SAWMILL}}.
PROFESSION.WOODCUTTER.VERB,,Chopping,Hugga

QUOTA.FIXED_AMOUNT,,in total,
QUOTA.PER_SETTLER,,per settler,

RACE.BOAR.NOUN,,Wild boar,
RACE.CARP.NOUN,,Carp,
RACE.DEER.FEMALE_NOUN,,Doe,
RACE.DEER.MALE_NOUN,,Stag,
RACE.DEER.TOOLTIP,,A deer is a non-threatening herbivore which will flee at any sign of danger,
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Dvärg-
RACE.DWARF.FEMALE_NOUN,,Dwarf,Dvärg
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Dvärgar
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Dvärg-
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Dvärg
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Dvärgar
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,Dvärgar är korta och slitna humanoider. De är mästare på att arbeta med sten och metall. De flesta dvärgar misstror himlen och föredrar att stanna under jorden.
RACE.ELEPHANT.NOUN,,Elephant,
RACE.FOX.FEMALE_NOUN,,Vixen,
RACE.FOX.MALE_NOUN,,Fox,
RACE.PERCH.NOUN,,Perch,
RACE.PIKE.NOUN,,Pike,

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,Vitriol
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),Ett salt av svavelsyra med många användningsområden inom industrin. (Användningar av vitriol har ännu inte genomförts i King under berget)
RESOURCE.FLOUR.SACK.NOUN,,Flour,Mjöl
RESOURCE.FLOUR.SACK.PLURAL,,Flour,Mjöl
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,Korn som har malts till ett fint pulver redo att användas som ingrediens vid framställning av livsmedel.
RESOURCE.GEM.NOUN,,Gem,Ädelsten
RESOURCE.GEM.PLURAL,,Gems,Ädelstenar
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,Ädelstenar som har klippts och polerats för att förbättra deras skönhet. Oftast används som prydnad.
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Oslipad ädelsten
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Oslipade ädelstenar
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,En bit sten som innehåller ädelstenar redo att skäras och poleras.
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),
RESOURCE.HEMP.BUNDLE.NOUN,,Hemp bundle,
RESOURCE.HEMP.BUNDLE.PLURAL,,Hemp bundles,
RESOURCE.HEMP.FIBRE.BUNDLE.NOUN,,Hemp fibre bundle,
RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL,,Hemp fibre bundles,
RESOURCE.LOGS.NOUN,,Log,Stock
RESOURCE.LOGS.PLURAL,,Logs,Stockar
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.","Delar av ett träd som oftast är beredda i {{RESOURCE.PLURC.PLURAL}}, men som också har andra användningsområden."
RESOURCE.METAL.BLOOM.NOUN,,Bloom,Blommar
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,Blommar
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,En klump av metall blandad med slagg som måste hamras i en användbar form.
RESOURCE.METAL.INGOT.NOUN,,Ingot,Tacka
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Tackor
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.","Raffinerade metallblock, redo att användas som en hantverksingrediens."
RESOURCE.METAL.PLATE.NOUN,,Plate,Plattan
RESOURCE.METAL.PLATE.PLURAL,,Plates,Plattor
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.","Stora, platta plattor som används i några av de större maskinerna."
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,Svamp logg
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,Svamp stockar
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,En logg som har infunderats med {{VERGENT.MUSTOM.SPAWN.NOUN}}. Kroppen i själva loggen är där svampen drar näringsämnen från. Det kräver dousing i en {{FEBRUARIET.MUSTOM_SHOCK_TANK}} efter att ha blivit helt oskulerad.
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,Stock
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,Stockar
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,Sektioner av en jätte svamp som kan användas på samma sätt som trä {{RESOURCE.LOGS.PLURAL}}.
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,Krossad malm
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,Krossad malm
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.","En metallisk sand skapad genom att bryta ner råmetallmalm, klar för användning i en {{FURNITURE.BLOOMERY_UGE}}."
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Mineral
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Mineraler
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,Sten som innehåller metallmalm som kan bearbetas till användbar metall.
RESOURCE.PLANKS.NOUN,,Plank,Planka
RESOURCE.PLANKS.PLURAL,,Planks,Plankor
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,Sektioner av trä av fast storlek så att de enkelt kan användas i konstruktioner och hantverk.
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,Svamp logg
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,Svamp stockar
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,Denna svampinfunderade logg har blivit ”chockad” i vatten för att uppmuntra svampen att utvecklas och bör producera en skörd snart.
RESOURCE.STONE.BLOCK.NOUN,,Block,Block
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Block
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,Sten som har formats till en kub så att den lätt kan användas i konstruktion eller tillverkning.
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Grovt stenblock
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Grova stenblock
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,En stor sten som måste mejslas till en mer användbar form av en {{PROFCTION.STONEMASON}}.
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack),
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack),

ROOMS.ARMOURY,,Armoury,
ROOMS.ARMOURY.TOOLTIP,,Weapons and armour are created here,
ROOMS.BEDROOM,,Bedroom,Sovrummet
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.","En plats för dina nybyggare att sova. De föredrar att ha individuella sovrum som är minst 9 plattor i storlek, och helst minst 13 plattor i storlek."
ROOMS.BREWERY,,Brewery,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,
ROOMS.BRIDGE,,Bridge,Bron
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,Placerad tvärs över floden för att ge tillgång till andra sidan.
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Snickarbod
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,Denna verkstad producerar de flesta träverktyg och föremål.
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,{{allokerad}} av {{total}} blanksteg som för närvarande används
ROOMS.EARTHWORKS,,Earthworks,Jordarbeten
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,En utomhusyta för stora konstruktioner.
ROOMS.FARM,,Farm plot,Lantgård
ROOMS.FARM.PLURAL,,Farm plots,Gårdsområden
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,Växer grödor med {{INDERENT.SEEDS.PLURAL}}. Måste placeras på {{MATERIAL_TYPE.EARH.NOUN}}.
ROOMS.FEASTING_HALL,,Feasting hall,Festsalen
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!","En plats för nybyggare att samlas för att äta, dricka och vara glada!"
ROOMS.GRAVEYARD,,Graveyard,Kyrkogård
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,Avlidna bosättare läggs för att vila här.
ROOMS.KITCHEN,,Kitchen,Kök
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,De flesta livsmedel tillagas här innan de serveras i {{ROOPS.FEASTING_HALL}}.
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Murarverkstad
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,Denna verkstad producerar de flesta föremål gjorda av sten.
ROOMS.METALWORKS,,Metalworks,Metallarbeten
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,Metallmalm är raffinerad och används i hantverk här.
ROOMS.MUSHROOM_FARM,,Mushroom farm,Svamp gård
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,Svampar kan odlas med {{EXTRENENENT.MUSTOM.SPAWN.NOUN}} och trä {{RESOURCE.LOGS.PLURAL}}.
ROOMS.SAWMILL,,Sawmill,Såg
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,Trä {{RESOURCE.LOGS.PLURAL}} raffineras till {{RESOURCE.PLURAL}} här.
ROOMS.STOCKPILE,,Stockpile,
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.,
ROOMS.STOCKPILES,,Stockpiles,Lagerpålar
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,Oanvända föremål placeras i lager för enkel åtkomst.
ROOMS.TEXTILE_WORKSHOP,,Textile workshop,
ROOMS.TEXTILE_WORKSHOP.TOOLTIP,,Processes {{SEED.HEMP_SEED}} into textiles for a variety of uses.,

ROPE.HEMP-ROPE,,Hemp,

RUSTED_SCRAP.NOUN,,Scrap,
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.,

SEASON.AUTUMN,,Autumn,Höst
SEASON.SPRING,,Spring,Vår
SEASON.SUMMER,,Summer,Sommar
SEASON.WINTER,,Winter,Vinter

SEED.BARLEY_SEED,,Barley,Korn
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Ett korn som endast används vid produktion av öl. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,Berserkern
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,En svamp med en rosa-röd mössa med vita fläckar. Det har hallucinogena egenskaper som krigare ibland använder för att förbereda sig för strid.
SEED.CARROT_SEED,,Carrot,Morot
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En härdig rotgrönsak som överlever {{SEASON.WINTER} -frosten. Morötter växer snabbt men producerar bara en liten gröda. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
SEED.CORN_SEED,,Corn,Majs
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","En spannmålskorn även känd som majs. Den producerar en riklig gröda men tar cirka 2 säsonger att växa och kan inte överleva {{SEASON.WINTER}}, så den kräver plantering i början av {{SEASON.SPRING}}."
SEED.DEATH_CAP_SPAWN,,Death cap,Död mössa
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.","En mycket giftig svamp med en bred, platt keps. Att äta även en liten mängd kommer nästan säkert att orsaka förgiftning som kan leda till döden."
SEED.ELFSBANE_SPAWN,,Elfsbane,Elfsbane
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Denna svamp har en enkel, smaklös smak för de flesta humanoider. Konstigt nog smakar det helt äckligt för älvor, som ofta reagerar med explosiv kräkningar vid konsumtion eller i extrema fall hjärtinfarkt."
SEED.FIST_SPAWN,,Fist,Knytnäve
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,En svartblå svamp med metallisk smak. Det är uppkallat efter en grupp bards från mörkrets ålder.
SEED.GLOW_SPAWN,,Glow,Glöd
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,En magisk svamp som avger ljus och ändrar färg med årstiderna.
SEED.HEMP_SEED,,Hemp,
SEED.HEMP_SEED.TOOLTIP,,Used to produce rope and fabric after it hsa been processed.,
SEED.HOPS_SEED,,Hops,Humle
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,En blomma som används för smaksättning av öl. Måste planteras i {{SEASON.SPRING}}.
SEED.MILTONIA_SPAWN,,Miltonia,Miltonia
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.","En gång tänkt att existera endast i Hudds-regionen, finns det nu över hela världen."
SEED.POTATO_SEED,,Potato,Potatis
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En stärkelserik rotgrönsak som kan överleva {{SEASON.WINTER}} vilket gör det till ett bra val för de flesta bosättningar. Kan planteras i {{SEASON.SPRING}}, {{SEASON.SOMR}} eller {{SEASON.HENT}}"
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,Lila hjälm
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Fat Hat, Plump Turban, Puffy Hjälm; Denna mytomspunna svamp går med många namn. Legenden hävdar att många samhällen av dvärgar levde helt på en domesticerad stam av denna svamp."
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,Rociomycota
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,En vit och svart fläckig svamp. Det har varit känt att påverka utseendet hos dem som intar det.
SEED.SUNGLOW_SPAWN,,Sunglow,Sunglow
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,En ljusgul svamp som lyser med uppkomsten av solljus. Den förlorar denna glöd när den skördas.
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,Sirap pulver
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","En rund orange/gul svamp med vit undersida. Det sägs ha använts av magiker för länge sedan, men för vilket ändamål vet ingen."
SEED.TOMATO_SEED,,Tomato,Tomat
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,En växt som växer stora röda bär används ofta som grönsak. Kan endast planteras i {{SEASON.SPRING}}.
SEED.WHEAT_SEED,,Wheat,Vete
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","En spannmålskorn som vanligtvis används för produktion av bröd. Den kan överleva {{SEASON.WINTER}} men tar ett tag att växa, så den är antingen planterad i {{SEASON.SPRING}} eller {{SEASON.HÖSTEN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Buske

STATUS.ALCOHOL_WITHDRAWL,,Alcohol withdrawl,
STATUS.BLEEDING,,Bleeding,
STATUS.BLINDED,,Blind,
STATUS.DEATH,,Dead,
STATUS.DRUNK,,Drunk,
STATUS.DYING_OF_HUNGER,,Dying of hunger,
STATUS.DYING_OF_THIRST,,Dying of thirst,
STATUS.EXHAUSTED,,Exhausted,
STATUS.INTERNAL_BLEEDING,,Internal bleeding,
STATUS.KNOCKED_UNCONSCIOUS,,Unconscious,
STATUS.MOVEMENT_IMPAIRED,,Impaired movement,
STATUS.ON_FIRE,,On fire,
STATUS.POISONED,,Poisoned,
STATUS.TEMPORARILY_BLINDED,,Temporarily blinded,
STATUS.VERY_HUNGRY,,Very hungry,
STATUS.VERY_THIRSTY,,Very thirsty,

STOCKPILE.GROUP.FOOD,,Food,
